file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:00,0 days 00:00:00.020000,0.2048906,-20.683235,28.689188,-0.06518331,-0.010897583,0.02529083,16.145203,20.304443,20.953764,10.999118,0.0,0.0,0.0,0.0,0.0,0.0,624.7871,1415.66,-201.0,1700.5892,1077.6322,-201.0,2598.4812,684.509,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:00.010000,0 days 00:00:00.030000,0.19370013,-20.511873,28.787466,-0.08128778,-0.0040106773,0.053160924,14.80455,20.076197,20.33951,13.913727,0.0,0.0,0.0,0.0,0.0,0.0,954.4727,1307.7675,-201.0,2013.233,914.21344,-201.0,2938.538,762.71783,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:00.020000,0 days 00:00:00.040000,0.18356247,-20.961111,30.871904,-0.091928996,0.0019127158,0.08476803,14.045077,19.414404,19.079323,14.425743,0.0,0.0,0.0,0.0,0.0,0.0,1185.3601,1242.9823,-141.80794,2207.8987,838.93,-142.72177,3230.4883,712.3459,-144.30244
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:00.030000,0 days 00:00:00.050000,0.18220729,-20.381397,30.163458,-0.088222295,-0.00055802736,0.08843123,14.434825,17.67784,17.73455,15.93734,36.782494,0.0,1.1937678,4.950734,0.7802839,1.0004978,887.4069,1225.5786,-112.211914,1988.9633,811.1911,-83.95356,2952.718,891.39325,-86.6062
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:00.040000,0 days 00:00:00.060000,0.18693604,-20.346483,31.142105,-0.08535237,-0.00013610581,0.09165802,14.291028,15.256751,18.0334,18.474016,36.939686,0.027115446,0.82224625,5.1016994,2.3239906,3.1609383,802.19366,1189.921,0.0,1854.4613,889.7617,-26.65151,2898.668,820.38727,-31.507483
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:00.050000,0 days 00:00:00.070000,0.19089626,-19.099474,28.425177,-0.0843578,-0.001477583,0.10100057,14.376271,14.568046,17.55104,21.86345,37.14574,0.020411571,1.0246288,5.2217846,3.8581588,5.389832,870.4743,1163.7721,-28.361235,1897.8134,819.08203,-27.505997,2995.071,818.0376,-33.03864
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:00.060000,0 days 00:00:00.080000,0.1877457,-19.909594,29.149073,-0.08394078,0.003416952,0.11073476,14.513966,15.135392,17.86437,23.33626,37.265984,0.015390011,0.7411988,5.157466,5.686329,8.963646,1161.757,1148.9814,-85.90749,2121.441,938.29083,-86.2742,3196.445,1231.4781,-90.73486
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:00.070000,0 days 00:00:00.090000,0.18202205,-20.127344,28.804108,-0.08610654,0.0023727268,0.114153445,15.372527,16.985529,18.319092,23.42864,0.0,0.0,0.0,0.0,0.0,0.0,1299.9888,1216.9948,-143.82368,2186.782,1450.4999,-143.57625,3148.9814,1200.5532,-145.8336
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:00.080000,0 days 00:00:00.100000,0.17711265,-21.413008,30.655699,-0.08514866,-0.0024146026,0.114487015,14.9991045,16.757118,21.609314,23.04629,0.0,0.0,0.0,0.0,0.0,0.0,1126.6776,1770.376,-201.0,2004.8766,1468.1523,-201.0,3006.8245,1302.0452,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:00.090000,0 days 00:00:00.110000,0.17269914,-20.8206,29.763054,-0.08662123,-0.0071658366,0.11303469,14.422225,16.971634,21.74771,20.2372,0.0,0.0,0.0,0.0,0.0,0.0,1181.2139,1692.0853,-201.0,2041.0006,1360.9546,-201.0,3148.4883,746.77856,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:00.100000,0 days 00:00:00.120000,0.17513686,-20.617018,30.238134,-0.073739864,-0.013668898,0.10116304,14.253548,14.765508,17.33933,14.678673,0.0,0.0,0.0,0.0,0.0,0.0,983.4537,1787.6655,-201.0,1954.4038,850.9541,-201.0,3239.5176,803.75446,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:00.110000,0 days 00:00:00.130000,0.17516112,-19.734934,30.14435,-0.06521391,-0.012008528,0.086304076,14.822024,14.802254,12.951073,13.882985,0.0,0.0,0.0,0.0,0.0,0.0,866.0568,1294.1263,-201.0,1868.0773,859.58105,-201.0,3025.4504,798.792,-201.0
